"TFC","TS","TFCD","TCDR","TET","TW","TI","TPL","TPLA","TOS","THW","TDAQ","TPOW","TCORR","TLOG","TEQS","TEQC","TCLK","TFSM","TANN","TDLIB","TDLIBXLD","TIL(0)"
0,17,0,0.999959,16038.253000,0.047800,0.037200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021800,0.000000,0.000000,0.006700,0.000000,0.000000,0.000000,0.000000,0.000000,
0,18,0,0.999959,17038.328600,0.117500,0.105800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017800,0.000000,0.000000,0.006700,0.000000,0.000000,0.000100,0.000000,0.000000,
0,19,0,0.999959,18039.114700,0.060600,0.047600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021600,0.000000,0.000000,0.006700,0.000000,0.000000,0.000100,0.000000,0.000000,
0,20,0,1.000024,19041.784200,0.052100,0.038800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019900,0.000000,0.000000,0.007000,0.000000,0.000000,0.000100,0.000000,0.000000,
0,21,0,1.000024,20040.904600,0.081300,0.070000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021600,0.000000,0.000000,0.007000,0.000000,0.000000,0.000200,0.000000,0.000000,
0,22,0,1.000024,21042.496900,0.030500,0.021800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020300,0.000000,0.000000,0.007000,0.000000,0.000000,0.000100,0.000000,0.000000,
0,23,0,1.000024,22040.608700,0.038500,0.027300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017900,0.000000,0.000000,0.007000,0.000000,0.000000,0.000000,0.000000,0.000000,
0,24,0,1.000024,23038.049300,0.044000,0.031700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021400,0.000000,0.000000,0.007000,0.000000,0.000000,0.000100,0.000000,0.000000,
0,25,0,1.000024,24043.153600,0.042600,0.031700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021400,0.000000,0.000000,0.007000,0.000000,0.000000,0.000100,0.000000,0.000000,
0,26,0,1.000024,25047.370500,0.034600,0.024700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020800,0.000000,0.000000,0.007000,0.000000,0.000000,0.000000,0.000000,0.000000,
0,27,0,1.000024,26048.520900,0.041800,0.030800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.017500,0.000000,0.000000,0.007000,0.000000,0.000000,0.000000,0.000000,0.000000,
0,28,0,1.000024,27050.962100,0.059500,0.046400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020700,0.000000,0.000000,0.007000,0.000000,0.000000,0.000100,0.000000,0.000000,
0,29,0,1.000024,28053.854500,0.040500,0.028700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020100,0.000000,0.000000,0.007000,0.000000,0.000000,0.000000,0.000000,0.000000,
0,30,0,0.999800,29056.071600,0.040000,0.028500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020500,0.000000,0.000000,0.006900,0.000000,0.000000,0.000100,0.000000,0.000000,
0,31,0,0.999800,30058.746900,0.038600,0.027300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020800,0.000000,0.000000,0.006900,0.000000,0.000000,0.000000,0.000000,0.000000,
0,32,0,0.999800,31057.599800,0.039000,0.028000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020000,0.000000,0.000000,0.006900,0.000000,0.000000,0.000100,0.000000,0.000000,
0,33,0,0.999800,32060.638700,0.036500,0.026100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.021300,0.000000,0.000000,0.006900,0.000000,0.000000,0.000100,0.000000,0.000000,
0,34,0,0.999800,33062.785100,0.047100,0.034500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.019600,0.000000,0.000000,0.006900,0.000000,0.000000,0.000100,0.000000,0.000000,
0,35,0,0.999800,34068.223500,0.060000,0.047000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020800,0.000000,0.000000,0.006900,0.000000,0.000000,0.000100,0.000000,0.000000,
