"TFC","TS","TFCD","TCDR","TET","TW","TI","TPL","TPLA","TOS","THW","TDAQ","TPOW","TCORR","TLOG","TEQS","TEQC","TCLK","TFSM","TANN","TDLIB","TDLIBXLD","TIL(0)"
0,34,0,1.001052,33044.648500,0.969300,0.960500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.151200,0.000000,0.000000,0.007200,0.000000,0.000000,0.000100,0.000000,0.926700,
0,35,0,1.001052,34045.470700,1.289600,1.279200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.133900,0.000000,0.000000,0.007200,0.000000,0.000000,0.000100,0.000000,1.219400,
0,36,0,1.001052,35050.346000,1.251200,1.239700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.212200,0.000000,0.000000,0.007200,0.000000,0.000000,0.000100,0.000000,1.159600,
0,37,0,1.001052,36051.081400,0.178600,0.170800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.165400,0.000000,0.000000,0.007200,0.000000,0.000000,0.000100,0.000000,0.000000,
0,38,0,1.001052,37051.162200,0.092800,0.084300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.157400,0.000000,0.000000,0.007200,0.000000,0.000000,0.000100,0.000000,0.000000,
0,39,0,1.001052,38054.526000,0.047400,0.039300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.038300,0.000000,0.000000,0.007200,0.000000,0.000000,0.000100,0.000000,0.000000,
0,40,0,0.999500,39055.946900,0.075200,0.067200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.157700,0.000000,0.000000,0.007100,0.000000,0.000000,0.000100,0.000000,0.000000,
0,41,0,0.999500,40061.666400,0.057300,0.049800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.188700,0.000000,0.000000,0.007100,0.000000,0.000000,0.000100,0.000000,0.000000,
0,42,0,0.999500,41056.176600,0.048000,0.040400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022100,0.000000,0.000000,0.007100,0.000000,0.000000,0.000000,0.000000,0.000000,
0,43,0,0.999500,42056.982100,0.057900,0.050600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.164900,0.000000,0.000000,0.007100,0.000000,0.000000,0.000100,0.000000,0.000000,
0,44,0,0.999500,43055.418100,0.138500,0.131400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.020200,0.000000,0.000000,0.007100,0.000000,0.000000,0.000100,0.000000,0.000000,
0,45,0,0.999500,44057.404900,0.102100,0.093900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.026900,0.000000,0.000000,0.007100,0.000000,0.000000,0.000100,0.000000,0.000000,
0,46,0,0.999500,45062.429400,0.085000,0.076500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.164600,0.000000,0.000000,0.007100,0.000000,0.000000,0.000200,0.000000,0.000000,
0,47,0,0.999500,46067.666900,0.192100,0.184000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.159800,0.000000,0.000000,0.007100,0.000000,0.000000,0.000100,0.000000,0.000000,
0,48,0,0.999500,47064.335800,1.224700,1.217000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.022700,0.000000,0.000000,0.007100,0.000000,0.000000,0.000100,0.000000,1.182500,
0,49,0,0.999500,48063.686300,0.083600,0.075400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.316700,0.000000,0.000000,0.007100,0.000000,0.000000,0.000100,0.000000,0.000000,
0,50,0,1.000200,49066.106300,0.181200,0.172700,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.156700,0.000000,0.000000,0.005500,0.000000,0.000000,0.000100,0.000000,0.000000,
